Country,ISO.alpha3.code,M49.code,Region.1,Region.2,Continent,GDP.per.capita
Afghanistan,AFG,4,Southern Asia,Southern Asia,Asia,619
Albania,ALB,8,Southern Europe,Southern Europe,Europe,4450
Algeria,DZA,12,Northern Africa,Northern Africa,Africa,4055
Andorra,AND,20,Southern Europe,Southern Europe,Europe,39153
Angola,AGO,24,Middle Africa,Sub-Saharan Africa,Africa,4247
Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America,18861
Antigua and Barbuda,ATG,28,Caribbean,Latin America and the Caribbean,North America,14803
Argentina,ARG,32,South America,Latin America and the Caribbean,South America,14400
Armenia,ARM,51,Western Asia,Western Asia,Asia,3937
Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America,25655
Australia,AUS,36,Australia and New Zealand,Australia and New Zealand,Oceania,57613
Austria,AUT,40,Western Europe,Western Europe,Europe,47718
Azerbaijan,AZE,31,Western Asia,Western Asia,Asia,4146
Bahamas,BHS,44,Caribbean,Latin America and the Caribbean,North America,29825
Bahrain,BHR,48,Western Asia,Western Asia,Asia,23668
Bangladesh,BGD,50,Southern Asia,Southern Asia,Asia,1492
Barbados,BRB,52,Caribbean,Latin America and the Caribbean,North America,16494
Belarus,BLR,112,Eastern Europe,Eastern Europe,Europe,5750
Belgium,BEL,56,Western Europe,Western Europe,Europe,43289
Belize,BLZ,84,Central America,Latin America and the Caribbean,North America,5077
Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa,826
Bermuda,BMU,60,Northern America,Northern America,North America,102192
Bhutan,BTN,64,Southern Asia,Southern Asia,Asia,3173
Bolivia,BOL,68,South America,Latin America and the Caribbean,South America,3394
Bosnia and Herzegovina,BIH,70,Southern Europe,Southern Europe,Europe,5181
Botswana,BWA,72,Southern Africa,Sub-Saharan Africa,Africa,7596
Brazil,BRA,76,South America,Latin America and the Caribbean,South America,9821
British Virgin Islands,VGB,92,Caribbean,Latin America and the Caribbean,North America,31917
Brunei Darussalam,BRN,96,South-eastern Asia,South-eastern Asia,Asia,28291
Bulgaria,BGR,100,Eastern Europe,Eastern Europe,Europe,8218
Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa,642
Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa,290
Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa,3245
Cambodia,KHM,116,South-eastern Asia,South-eastern Asia,Asia,1382
Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa,1452
Canada,CAN,124,Northern America,Northern America,North America,44974
Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America,65472
Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa,428
Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa,719
Chile,CHL,152,South America,Latin America and the Caribbean,South America,15347
China,CHN,156,Eastern Asia,Eastern Asia,Asia,8682
"China, Hong Kong SAR",HKG,344,Eastern Asia,Eastern Asia,Asia,46390
"China, Macao SAR",MAC,446,Eastern Asia,Eastern Asia,Asia,80893
Colombia,COL,170,South America,Latin America and the Caribbean,South America,6302
Comoros,COM,174,Eastern Africa,Sub-Saharan Africa,Africa,1330
Congo,COG,178,Middle Africa,Sub-Saharan Africa,Africa,2147
Cook Islands,COK,184,Polynesia,Polynesia,Oceania,17798
Costa Rica,CRI,188,Central America,Latin America and the Caribbean,North America,11734
Côte d'Ivoire,CIV,384,Western Africa,Sub-Saharan Africa,Africa,1566
Croatia,HRV,191,Southern Europe,Southern Europe,Europe,13177
Cuba,CUB,192,Caribbean,Latin America and the Caribbean,North America,8433
Cyprus,CYP,196,Western Asia,Western Asia,Asia,25790
Czechia,CZE,203,Eastern Europe,Eastern Europe,Europe,20326
Dem. People's Rep. Korea,PRK,408,Eastern Asia,Eastern Asia,Asia,685
Dem. Rep. of the Congo,COD,180,Middle Africa,Sub-Saharan Africa,Africa,463
Denmark,DNK,208,Northern Europe,Northern Europe,Europe,57533
Djibouti,DJI,262,Eastern Africa,Sub-Saharan Africa,Africa,1928
Dominica,DMA,212,Caribbean,Latin America and the Caribbean,North America,6719
Dominican Rep.,DOM,214,Caribbean,Latin America and the Caribbean,North America,7052
