Ego,Alter,PercentOfExports
Afghanistan,Pakistan,47.5001
Afghanistan,India,38.5674
Afghanistan,Iran (Islamic Rep.),3.1558
Albania,Italy,53.4973
Albania,Serbia,9.4355
Albania,Spain,5.4899
Algeria,Italy,15.9969
Algeria,France,12.592
Algeria,Spain,11.6602
Andorra,Spain,28.1257
Andorra,France,14.0854
Andorra,Sri Lanka,13.9236
Angola,China,58.0593
Angola,India,11.2525
Angola,United States,6.7087
Anguilla,Thailand,23.6535
Anguilla,United States,22.8593
Anguilla,Chile,13.0009
Antigua and Barbuda,Spain,22.27
Antigua and Barbuda,United Kingdom,20.8681
Antigua and Barbuda,Bermuda,13.8941
Argentina,Brazil,15.9416
Argentina,United States,7.7368
Argentina,China,7.4078
Armenia,Russian Federation,26.9208
Armenia,Switzerland,14.1203
Armenia,Bulgaria,9.0384
Aruba,Colombia,19.4563
Aruba,United States,14.4276
Australia,China,29.5858
Australia,Japan,10.431
Austria,Germany,29.7094
Austria,United States,6.6016
Austria,Italy,6.2481
Azerbaijan,Italy,31.936
Azerbaijan,Turkey,9.9027
Azerbaijan,Israel,4.6308
Bahamas,United States,38.1783
Bahamas,Poland,21.6332
Bahamas,Nicaragua,6.3824
Bahrain,Saudi Arabia,18.1339
Bahrain,United Arab Emirates,17.3274
Bahrain,United States,10.9531
Bangladesh,Germany,14.9135
Bangladesh,United States,14.3534
Bangladesh,United Kingdom,8.4687
Barbados,United States,22.6539
Barbados,Trinidad and Tobago,6.9241
Belarus,Russian Federation,38.4606
Belarus,Ukraine,12.1323
Belarus,United Kingdom,9.2026
Belgium,Germany,16.606
Belgium,France,14.886
Belgium,Netherlands,12.0072
Belize,United Kingdom,27.6507
Belize,United States,26.3006
Belize,Jamaica,5.386
Benin,Viet Nam,13.9117
Benin,Bangladesh,12.5833
Benin,Malaysia,11.4428
Bermuda,United States,62.6484
Bermuda,United Kingdom,6.1516
Bhutan,India,85.1767
Bhutan,United Kingdom,2.9574
Bhutan,Nepal,2.749
Bolivia,Brazil,19.1591
Bolivia,Argentina,15.9823
Bolivia,India,8.0633
Bosnia and Herzegovina,Germany,14.3852
Bosnia and Herzegovina,Croatia,11.5595
Bosnia and Herzegovina,Italy,10.937
Botswana,Belgium,22.8315
Botswana,India,19.7209
Botswana,United Arab Emirates,16.5627
Brazil,China,21.8098
Brazil,United States,12.468
Brazil,Argentina,8.0917
British Virgin Islands,Mexico,20.8242
British Virgin Islands,Rwanda,8.237
British Virgin Islands,Australia,5.6842
Brunei Darussalam,Japan,29.2663
Brunei Darussalam,Rep. of Korea,14.1702
Brunei Darussalam,Malaysia,11.2311
Bulgaria,Germany,12.8599
Bulgaria,Turkey,8.8895
Bulgaria,Italy,7.9251
Burkina Faso,Switzerland,58.7682
Burkina Faso,India,9.9272
Burkina Faso,Singapore,9.3492
Burundi,United Arab Emirates,25.6131
Burundi,Dem. Rep. of the Congo,17.8356
Burundi,Pakistan,9.2449
Cabo Verde,Spain,70.7853
Cabo Verde,Portugal,24.7578
Cabo Verde,United States,2.3347
Cambodia,United States,21.3227
Cambodia,United Kingdom,9.4666
Cambodia,Germany,8.9762
Cameroon,Italy,13.8834
Cameroon,China,12.0863
Cameroon,France,10.5128
Canada,United States,75.8542
Canada,China,4.3238
Canada,United Kingdom,3.2418
Cayman Islands,Malta,50.6534
Cayman Islands,Netherlands,38.5226
Cayman Islands,United States,4.0421
Central African Republic,France,61.133
Central African Republic,Benin,9.9022
Central African Republic,China,6.9582
Chad,United States,39.2832
Chad,China,22.7412
Chad,Netherlands,16.085
Chile,China,33.5007
Chile,United States,13.7936
Chile,Japan,9.3339
China,United States,19.0127
China,"China, Hong Kong SAR",12.3361
China,Japan,6.0644
"China, Hong Kong SAR",China,55.2259
"China, Hong Kong SAR",United States,8.0604
"China, Hong Kong SAR",India,3.1456
"China, Macao SAR","China, Hong Kong SAR",29.7525
"China, Macao SAR",China,5.9192
Colombia,United States,29.1588
Colombia,Panama,6.8427
Colombia,China,5.2946
Comoros,India,36.3563
Comoros,France,17.9228
Comoros,Germany,7.6616
Congo,China,33.8915
Congo,Spain,12.3782
Congo,Angola,6.4277
Cook Islands,Japan,41.8901
Cook Islands,China,14.7367
Cook Islands,Thailand,11.2205
Costa Rica,United States,40.8632
Costa Rica,Belgium,6.4526
Costa Rica,Netherlands,5.611
Côte d'Ivoire,Netherlands,11.8951
Côte d'Ivoire,United States,9.4422
Côte d'Ivoire,Viet Nam,6.1906
Croatia,Italy,13.6069
Croatia,Germany,12.3303
Croatia,Slovenia,10.7353
Cuba,China,22.969
Cuba,Canada,21.1017
Cuba,Spain,10.2075
Cyprus,Libya,8.9827
Cyprus,Greece,7.716
Czechia,Germany,33.282
Czechia,Slovakia,6.9538
Czechia,Poland,6.2032
Dem. People's Rep. Korea,China,90.2438
Dem. People's Rep. Korea,India,1.7992
Dem. People's Rep. Korea,Zambia,0.8718
Dem. Rep. of the Congo,China,46.6103
Dem. Rep. of the Congo,Zambia,16.4351
Dem. Rep. of the Congo,Rep. of Korea,7.5751
Denmark,Germany,14.5182
Denmark,Sweden,10.4727
Djibouti,United States,27.9318
Djibouti,Saudi Arabia,19.9509
Djibouti,United Arab Emirates,4.9212
Dominica,Indonesia,16.1886
Dominica,Saudi Arabia,12.6014
Dominica,Belarus,8.8607
Dominican Rep.,United States,53.2532
Dominican Rep.,Haiti,9.6269
Dominican Rep.,Canada,8.8973
Ecuador,United States,30.8778
Ecuador,Peru,7.4752
Ecuador,China,6.9162
Egypt,United Arab Emirates,10.5639
Egypt,Italy,8.4761
Egypt,Turkey,7.1947
El Salvador,United States,44.9379
El Salvador,Honduras,13.8343
El Salvador,Guatemala,13.7539
Equatorial Guinea,China,28.1281
Equatorial Guinea,India,11.173
Equatorial Guinea,Portugal,9.1159
Eritrea,China,52.8359
Eritrea,Rep. of Korea,23.1467
Eritrea,United Arab Emirates,13.9376
Estonia,Finland,15.12
Estonia,Sweden,10.3999
Estonia,Latvia,9.0958
Eswatini,South Africa,69.3627
Eswatini,Kenya,5.9093
Eswatini,Nigeria,4.6733
Ethiopia,United States,9.8293
Ethiopia,Saudi Arabia,9.6938
Ethiopia,Germany,8.6037
Falkland Islands (Malvinas),Spain,80.9296
Falkland Islands (Malvinas),United States,5.3645
Falkland Islands (Malvinas),Namibia,3.0832
Faroe Islands,Russian Federation,24.7918
Faroe Islands,United Kingdom,17.4344
Faroe Islands,Denmark,10.794
Fiji,United States,17.9482
Fiji,Australia,12.9102
Finland,Germany,14.8237
Finland,Sweden,10.2199
Finland,Netherlands,6.4866
France,Germany,14.8284
France,Spain,7.679
France,Italy,7.5925
French Polynesia,Japan,48.4906
French Polynesia,United States,25.4396
French Polynesia,France,11.776
Gabon,China,46.2487
Gabon,Australia,7.8831
Gabon,Malaysia,5.8802
