Ego,Alter,PercentOfImports
Afghanistan,Iran (Islamic Rep.),19.362
Afghanistan,Pakistan,18.3461
Afghanistan,China,16.723
Albania,Italy,28.6278
Albania,Turkey,8.1093
Albania,Germany,8.1093
Algeria,China,18.0615
Algeria,France,9.3317
Algeria,Italy,8.1536
Andorra,Spain,68.6321
Andorra,France,17.8828
Andorra,Germany,2.8912
Angola,China,20.7375
Angola,Portugal,14.7644
Angola,United States,7.1618
Anguilla,United States,61.6906
Anguilla,France,17.7029
Anguilla,Poland,3.8888
Antigua and Barbuda,United States,43.2253
Antigua and Barbuda,United Kingdom,5.4745
Argentina,Brazil,26.7122
Argentina,China,18.4071
Argentina,United States,11.4126
Armenia,Russian Federation,26.2168
Armenia,China,13.784
Armenia,Iran (Islamic Rep.),5.6147
Aruba,United States,52.2586
Aruba,Netherlands,12.0232
Australia,China,21.8747
Australia,United States,10.3366
Australia,Japan,7.2276
Austria,Germany,36.5383
Austria,Italy,6.0855
Austria,China,5.7227
Azerbaijan,Russian Federation,16.7846
Azerbaijan,Turkey,14.6568
Azerbaijan,China,11.1597
Bahamas,United States,33.1308
Bahamas,Rep. of Korea,19.0631
Bahamas,Colombia,10.0381
Bahrain,China,9.6941
Bahrain,United States,8.6457
Bangladesh,China,30.9398
Bangladesh,India,14.3599
Bangladesh,Singapore,5.8104
Barbados,United States,39.5713
Barbados,Trinidad and Tobago,17.9273
Barbados,China,5.9257
Belarus,Russian Federation,58.6231
Belarus,China,7.8582
Belarus,Germany,4.7359
Belgium,Netherlands,17.2005
Belgium,Germany,13.8443
Belgium,France,9.4818
Belize,United States,35.644
Belize,China,11.2437
Belize,Mexico,11.1595
Benin,India,19.0037
Benin,Thailand,14.3955
Benin,China,7.8518
Bermuda,United States,69.3804
Bermuda,Canada,9.0954
Bermuda,United Kingdom,3.4859
Bhutan,India,77.0747
Bhutan,United States,6.6041
Bhutan,Thailand,5.0175
Bolivia,China,20.7232
Bolivia,Brazil,16.1023
Bolivia,Argentina,11.5991
Bosnia and Herzegovina,Germany,11.5981
Bosnia and Herzegovina,Italy,11.3603
Bosnia and Herzegovina,Serbia,11.1673
Botswana,South Africa,64.3036
Botswana,Canada,8.8443
Botswana,Namibia,6.7075
Brazil,China,18.1238
Brazil,United States,16.6583
Brazil,Argentina,6.2589
British Virgin Islands,United States,31.085
British Virgin Islands,Switzerland,4.5405
Brunei Darussalam,China,20.809
Brunei Darussalam,Singapore,18.4539
Brunei Darussalam,Malaysia,18.2339
Bulgaria,Germany,12.2285
Bulgaria,Russian Federation,10.2447
Bulgaria,Italy,7.2428
Burkina Faso,China,13.9553
Burkina Faso,Côte d'Ivoire,10.7766
Burkina Faso,France,8.5724
Burundi,India,13.9914
Burundi,China,13.7944
Burundi,Saudi Arabia,9.4113
Cabo Verde,Portugal,42.9325
Cabo Verde,Spain,12.6049
Cabo Verde,Italy,6.1491
Cambodia,China,36.7872
Cambodia,Thailand,15.4397
Cambodia,Viet Nam,11.4461
Cameroon,China,17.2225
Cameroon,France,9.8019
Cameroon,Thailand,5.7417
Canada,United States,51.3332
Canada,China,12.6412
Canada,Mexico,6.3257
Cayman Islands,United States,20.5463
Cayman Islands,Netherlands,16.9605
Cayman Islands,Germany,15.9256
Central African Republic,France,26.1334
Central African Republic,Cameroon,12.1477
Central African Republic,Belgium,8.1352
Chad,China,20.7491
Chad,France,17.1627
Chad,Cameroon,8.93
Chile,China,23.5948
Chile,United States,18.8709
Chile,Brazil,9.0016
China,Rep. of Korea,9.6298
China,Japan,8.992
"China, Hong Kong SAR",China,44.7896
"China, Hong Kong SAR",Singapore,6.4426
"China, Macao SAR",China,31.4195
"China, Macao SAR","China, Hong Kong SAR",8.5287
Colombia,United States,26.2673
Colombia,China,19.0107
Colombia,Mexico,7.4634
Comoros,United Rep. of Tanzania,27.3262
Comoros,China,19.1749
Comoros,France,9.8854
Congo,Namibia,8.7468
Congo,France,7.9981
Congo,Angola,7.0003
Cook Islands,New Zealand,52.1765
Cook Islands,Fiji,9.2792
Cook Islands,Italy,5.5825
Costa Rica,United States,38.3655
Costa Rica,China,13.1028
Costa Rica,Mexico,7.0471
Côte d'Ivoire,China,13.4709
Côte d'Ivoire,France,11.0532
Côte d'Ivoire,Nigeria,9.2255
Croatia,Germany,15.7935
Croatia,Italy,12.9124
Croatia,Slovenia,10.7117
Cuba,China,21.3268
Cuba,Spain,15.5668
Cuba,Mexico,5.941
Cyprus,Greece,18.8838
Cyprus,Italy,7.3845
Cyprus,China,7.1524
Czechia,Germany,24.7162
Czechia,China,15.0564
Czechia,Poland,7.438
Dem. People's Rep. Korea,China,92.6577
Dem. People's Rep. Korea,Russian Federation,2.3895
Dem. People's Rep. Korea,India,1.6557
Dem. Rep. of the Congo,China,18.1487
Dem. Rep. of the Congo,South Africa,15.8086
Dem. Rep. of the Congo,Zambia,14.4668
Denmark,Germany,22.4918
Denmark,Sweden,11.7907
Denmark,Netherlands,7.6375
Djibouti,China,49.2283
Djibouti,India,6.0623
Djibouti,Saudi Arabia,4.9297
Dominica,United States,48.1088
Dominica,China,13.7515
Dominica,Mexico,7.312
Dominican Rep.,United States,44.4325
Dominican Rep.,China,13.2036
Dominican Rep.,Mexico,4.6077
Ecuador,United States,21.7667
Ecuador,China,18.9082
Ecuador,Colombia,7.8596
Egypt,China,12.2181
Egypt,Germany,6.8059
Egypt,Italy,6.3192
El Salvador,United States,31.8251
El Salvador,China,13.6579
El Salvador,Guatemala,9.8895
Equatorial Guinea,Spain,20.9501
Equatorial Guinea,China,20.2253
Equatorial Guinea,United States,13.1185
Eritrea,Egypt,28.8818
Eritrea,China,11.7568
Eritrea,Italy,8.2112
Estonia,Germany,9.966
Estonia,Russian Federation,9.7678
Estonia,Finland,9.4191
Eswatini,South Africa,77.6294
Eswatini,China,6.5759
Eswatini,India,2.2435
Ethiopia,China,31.8815
Ethiopia,United States,8.7961
Ethiopia,India,7.4544
Falkland Islands (Malvinas),United Kingdom,54.1689
Falkland Islands (Malvinas),Spain,29.5176
Falkland Islands (Malvinas),Netherlands,6.1089
Faroe Islands,Denmark,56.5552
Faroe Islands,Norway,12.1714
Faroe Islands,Germany,5.6002
Fiji,Singapore,20.8446
Fiji,China,16.3197
Fiji,Australia,15.722
Finland,Germany,15.1944
Finland,Russian Federation,13.9014
Finland,Sweden,10.7583
France,Germany,15.8338
France,China,9.0357
France,Italy,7.6728
French Polynesia,France,44.5071
French Polynesia,New Zealand,8.3699
French Polynesia,United States,8.2585
Gabon,France,20.6989
Gabon,China,19.4774
Gabon,Lebanon,9.8603
Gambia,Côte d'Ivoire,29.2311
Gambia,Senegal,17.8009
Gambia,China,8.3248
Georgia,Turkey,16.1151
Georgia,Russian Federation,10.2571
Georgia,China,9.1381
Germany,China,9.9745
Germany,Netherlands,8.0838
Germany,France,6.2561
Ghana,China,19.1289
Ghana,United States,8.0275
Ghana,Belgium,5.8175
Gibraltar,Netherlands,7.6132
Gibraltar,United Kingdom,7.0192
Greece,Germany,10.0765
Greece,Iraq,8.248
Greece,Russian Federation,7.517
Greenland,Denmark,72.1725
Greenland,Sweden,9.8354
Greenland,China,2.5793
Grenada,United States,42.0216
Grenada,United Kingdom,6.8972
Grenada,China,4.5326
Guatemala,United States,39.927
Guatemala,China,10.7192
Guatemala,Mexico,10.6893
Guinea,China,30.7027
Guinea,Netherlands,11.8758
Guinea,India,8.834
Guinea-Bissau,Portugal,30.2289
Guinea-Bissau,Senegal,18.2441
Guinea-Bissau,China,10.1144
Guyana,United States,57.0179
Guyana,Trinidad and Tobago,18.1663
Guyana,China,5.5011
Haiti,United States,34.7676
Haiti,Dominican Rep.,20.2407
Haiti,China,13.6289
Honduras,United States,34.6852
Honduras,China,15.0488
Honduras,Guatemala,8.6269
Hungary,Germany,26.5388
Hungary,Austria,6.1736
Hungary,Poland,5.5978
Iceland,Norway,11.4815
Iceland,China,8.8495
Iceland,Germany,8.7353
India,China,16.1969
India,United States,5.4242
India,United Arab Emirates,5.2056
Indonesia,China,24.131
Indonesia,Singapore,11.361
Indonesia,Japan,9.526
Iran (Islamic Rep.),China,25.4109
Iran (Islamic Rep.),United Arab Emirates,15.8488
Iran (Islamic Rep.),Rep. of Korea,7.1332
Iraq,Turkey,7.5547
Iraq,China,7.2599
Ireland,United Kingdom,21.9281
Ireland,United States,17.47
Ireland,France,12.5961
Israel,China,13.666
Israel,United States,13.3838
Israel,Turkey,8.1118
Italy,Germany,16.3341
Italy,France,8.7806
Italy,China,7.0933
Jamaica,United States,43.6874
Jamaica,Japan,6.2898
Jamaica,China,6.2662
Japan,China,24.4952
Japan,United States,10.9957
Japan,Australia,5.8034
Jordan,China,13.5461
Jordan,Saudi Arabia,13.4994
Jordan,United States,9.8021
Kazakhstan,Russian Federation,39.0954
Kazakhstan,China,15.9894
Kazakhstan,Germany,5.0573
Kenya,China,22.639
Kenya,India,9.8763
Kenya,United Arab Emirates,8.0188
Kiribati,Australia,21.8243
Kiribati,Fiji,21.772
Kiribati,China,9.573
Kuwait,China,16.3729
Kuwait,United States,10.2511
Kuwait,United Arab Emirates,8.7222
Kyrgyzstan,China,40.2159
Kyrgyzstan,Russian Federation,24.8127
